ocr_confidence,authenticity_score,anomaly_score,image_width,image_height,field_completeness,document_number_present,date_present,gender_present,layout_consistency,label
80.06272721835224,96.21088043536272,8.204761892493881,716,1931,0.8481126248125441,1,1,1,0.852493955148889,genuine
72.11701099932048,82.41503537638906,24.343551013052597,660,1187,0.6810898338710877,0,0,1,0.7477005913538394,suspicious
76.97644518519385,81.20176819879481,25.713181720722055,1038,1561,0.6375503038894996,1,0,0,0.37583758428834224,suspicious
81.59447400145223,97.26341743350288,0.0,1217,1285,0.7877430889984691,0,0,1,0.8324372166936064,suspicious
79.15578914055348,80.10584805001227,9.788418656696095,2484,1320,0.7589733092893485,1,1,1,0.7615237280565617,genuine
72.29929660019093,82.68701910880232,9.10475853355097,1894,876,0.6102614196239853,0,1,0,0.6596669621992748,suspicious
78.18273092557888,95.59741588987042,2.0710762675906453,2809,1906,0.6665697756346972,1,0,1,0.704690356103917,genuine
91.24986692891872,82.92194167510758,12.441316994785183,805,1871,0.8421587765742179,1,1,0,0.4998861942282054,genuine
88.94329733612422,81.68802668377691,6.748480779366187,2945,2059,0.8482169355362508,1,1,1,0.4814063478951698,genuine
73.20237015698129,81.53858604636854,3.4879095394057646,1704,912,0.8516424589557581,1,1,1,0.6708286114658314,genuine
86.9563342669743,87.64155715160251,9.6184282818499,1995,2198,0.8375781954025894,0,1,1,0.6729620208678276,genuine
77.8349690246583,86.3981127788104,0.0,544,1667,0.625196044529221,0,0,1,0.6613319015452733,suspicious
85.94403541088415,69.83717844749428,21.917518429168624,2321,1014,0.8964118593554845,1,1,0,0.7421683083791915,genuine
83.34460903806439,86.28595737172022,3.672298712332382,1762,1975,0.8418538240150722,1,1,1,0.5395778438273521,genuine
91.90499351864288,87.3658644579659,14.936683342815467,2371,1406,0.6553754292826176,1,0,0,0.6574426796184756,suspicious
73.86828787329372,80.36863945934937,22.056964545223998,2801,1394,0.5986422688432983,0,0,1,0.8462422165982713,suspicious
90.92081746826014,93.16767339471565,12.6229652756988,1045,1763,0.784579823358085,1,1,0,0.7078903202049407,genuine
96.27615124776258,99.24488350146014,0.0,2871,681,0.9409550472370236,1,1,1,0.801913593739699,genuine
79.50362100258639,85.92463168039717,2.6105181559582453,1706,1237,0.5412287185643722,1,0,1,0.6663859103097844,suspicious
77.17784895603437,94.57369918124377,0.0,1298,444,0.728561272880418,0,1,1,0.8412837377540747,genuine
90.3109873992794,81.79394348421812,15.667817169106211,2268,1167,0.8539901852422992,1,1,1,0.407746545640439,genuine
84.76691397309344,96.15608591477368,0.0,508,1612,0.5646461623713126,0,1,1,0.7448461220549467,genuine
81.75403963911103,89.93100297217146,17.306594197119665,2206,2178,0.8159694386277195,0,1,0,0.7259813868962944,suspicious
96.50319582537036,89.79169569945529,5.341818002827199,2781,804,0.9211054882648956,1,1,0,0.5985491494887616,genuine
73.65023519847416,82.34082827213392,16.745594503000103,1021,1977,0.6168463965465543,1,1,1,0.6999576357980781,suspicious
87.38741461462675,81.26029505175438,1.5847959150263264,1918,470,0.6789059511581321,1,0,1,0.7444477893529168,genuine
90.5695644623278,64.80297650488495,19.91589344102784,2461,424,0.681726125801381,0,1,1,0.5726563168782419,suspicious
85.36079160499155,85.01260775852283,0.0,1952,1018,0.5536088340888536,1,1,0,0.8936142854567621,genuine
82.15705568001333,85.5583306914764,17.979578438000765,2820,920,0.7218214971191216,1,1,1,0.6324634763193361,genuine
71.11143565616561,84.98657940489397,10.138632267204382,2538,1448,0.6922584807375489,1,0,1,0.739721799894048,suspicious
77.94304449869688,87.08873686576824,13.682582024727472,1188,748,0.6268046876225014,0,0,1,0.7538351779061225,suspicious
76.07779157129598,85.38523828775445,11.404967060494695,1483,1393,0.7857327075374841,1,0,0,0.6548079682052818,suspicious
86.60464883134408,88.49839757448039,11.905527196526227,2177,2178,0.7923815857923666,1,0,1,0.843995054550379,suspicious
96.80611997368545,75.2760954868175,16.180835362027192,1550,701,0.8382314383982753,1,1,1,0.6367971661903435,genuine
67.69986535485012,71.72623995008497,19.780500911118924,1481,1177,0.5872049916509929,1,1,0,0.4296845771450425,suspicious
98.6579553947646,79.6621650857033,14.611249254057835,2629,1487,0.8998756386220195,1,1,0,0.727368796059289,genuine
87.98524926215046,76.8986796923096,20.1654118152584,779,1173,0.8673956743032227,1,0,1,0.5552645522354015,suspicious
90.57853022589296,87.09588897091062,12.702912220343228,1729,1139,0.7738986774979,1,1,0,0.658037005299997,suspicious
76.75313843638304,94.37513688882407,23.898705521433353,1447,468,0.7957157837301465,1,1,0,0.725158203811349,suspicious
90.3523073820534,87.54018605050022,21.11607535378208,2340,1260,0.8679026597358432,1,1,1,0.7885564497141218,genuine
56.83859610205507,89.16470842175883,0.0,2960,2069,0.6257922945050772,1,0,0,0.8427959719348184,suspicious
81.021748350233,87.44440435973597,8.414958384707235,2763,1974,0.8794167107043753,1,1,0,0.6804167580586578,genuine
90.66811893101665,87.6542953709163,6.4180075899542945,1382,1837,0.7503593376628473,1,0,1,0.6752135166926468,genuine
94.25047435330895,95.1943325630866,12.565163943355046,1484,541,0.8168900495012685,1,0,1,0.5158972387036609,genuine
91.5897651342137,97.09521229023974,0.0,806,625,0.7759147539889882,1,1,1,0.6915825151239569,genuine
92.71424381132044,78.1422669259098,19.643321947694314,2723,1350,0.8559999836676407,1,1,0,0.5115262874962658,genuine
85.85813500417916,92.91297907939122,0.0,1256,935,0.7685614240456804,1,1,1,0.7806470628524267,genuine
57.63694072262603,80.14717561371972,4.294412609957254,1318,712,0.5193481226156204,1,1,1,0.6283291876921278,suspicious
